uid,total_games,taxa_acordo,js_medio
0efdb80984bcc675ee31f00b2e153cd82944ab77,28,0.8801652892561983,0.08473455710492618
bcd79a331a09d6cfe1cac242300d09f5,1,0.84,0.162037896674031
7b4f046bc477b0e4ef485f09305050d2,4,0.8548387096774194,0.07641134310401734
cef73dbcbdc2f232923470e5da069f8d,13,0.7843137254901961,0.1685946763845857
0F7AC69C-FB63-44EE-862C-D75EAABE8B07,16,0.8363171355498721,0.09702746161095996
8ae91307ab554e366b78ddd9fbf579dc,31,0.8598870056497175,0.0985081167283188
D8FCC6F1-BFA6-4B23-A167-DFEC1F1B64C7,3,0.7928286852589641,0.1815614645174142
CC6AD6C9-69E0-4A5D-9FA7-1B536E71F9AD,49,0.9459706959706959,0.049689239263350796
A4980B69-620A-4828-82EE-275479490C14,34,0.8641078838174274,0.09523517947983118
50E3D3F2-48D1-4DF3-80A6-B9F52D73D19C,7,0.85,0.10138094405037947
3BB4EE05-6B58-41EF-81E1-B1E3DBDA7FEE,17,0.9511111111111111,0.04429740829618636
b8f55cfb9315e406ea78be849cc084de,18,0.8810810810810811,0.08786492571287828
FD443E7E-F9A0-4191-8170-9F23D997EA0A,21,0.8927038626609443,0.1012522403333295
6fc6231e091c3865c108c30106151920,14,0.956,0.04200860914517264
61D46B21-D82E-4458-BB24-B4CD34846561,4,0.9080459770114943,0.046155613481782216
9c1eede290b70c5681d7f44af853f113,45,0.9053905390539054,0.07698170796552056
5F586DA1-FE4E-44A3-9627-8D6E3428E783,1,0.9,0.09999999613249402
993DE2F2-0B8A-4345-A4FD-3ADA40164ED6,13,0.9897435897435898,0.006129126612817075
e463bbd4a66cd342127ff8eaf627bb86,8,0.8768768768768769,0.1289183823805512
67BE2BCF-E3AA-41E4-88F2-EFAC8E78A922,14,0.9016393442622951,0.04659707942926716
57B81508-EAB3-4BD5-B9F1-646FD266AC9F,14,0.8891566265060241,0.08855632473240407
32B5CE87-C264-4B8A-8321-BFE5C0EF3BDD,29,0.840877914951989,0.10496646137079453
C97A0390-672D-4474-8E96-E1FB0EEC6068,4,0.927536231884058,0.055660138996499756
39998F47-5329-4C7B-A98E-204F72C37A18,5,0.8596491228070176,0.08857230107951923
DA529D45-8670-4A0B-A350-D8D0928CED2D,43,0.8895463510848126,0.08873146000523051
5220D330-3443-420B-A31F-0D49D902B40E,8,0.8783783783783784,0.10230709764790184
e768b5297acda78c6350bebfbc8b20e6,49,0.932741116751269,0.05452061181360244
B97BD820-ED46-457B-BA8E-6BA33688F8B8,6,0.7701863354037267,0.12158850762976325
477DAAF7-7AE9-4D9A-9B81-48469FC518E2,13,0.9102040816326531,0.0777899697965337
998E2FC2-D4C7-4F54-9D57-898FE2CDB40E,1,0.6981132075471698,0.30188678299168364
A73E8BB3-22BD-41A7-AE10-452D5ACDF089,3,0.9322033898305084,0.03277685225118072
b5968602fc337eaff72bfae62d52d5c8,1,0.75,0.14503757157185304
12601536-2124-4F02-9D3B-82BD1D380758,3,0.784,0.12790713791144323
FD48BDCB-C57F-4CED-A4BC-B87EF73B0234,6,0.6811023622047244,0.14413464039613696
a49288fd46dfd23b515ced29078c22b8,15,0.9400544959128065,0.05141053984934259
250e7f3f7f4652464cc87a5fda9a61d0,6,0.9057971014492754,0.04655115298099529
5697B6FA-2341-40BB-9F2B-BF0DF68224A1,49,0.9081761006289308,0.06564376458664271
4c5dba3ec8c9ec1ca40993d719b6474f,9,0.928082191780822,0.05199743695334876
055FC709-632F-4546-97F8-C1CE7E3F5A7B,10,0.9672897196261683,0.0262736264601072
f8941021bd9549390c9af1401363b227,45,0.8734770384254921,0.08391603823526862
3642c005a7abc92e8fb31eab964cf48e,2,0.7341772151898734,0.11761680680413727
62664482-A651-5FD2-B6B2-AC1E73D73864,2,0.8823529411764706,0.1359575318254991
4EBEAA6E-E3D4-47C2-AC8C-29E7C3117A19,11,0.9605911330049262,0.03262342865247719
6A041EE6-0086-4C07-BBB3-40178457257E,17,0.9129287598944591,0.0761383495743145
46773e2650b7c33f64ee9927f87d13f3,49,0.9242125984251969,0.05475468913297291
3f0c8d8a272dc56044a4ac9a9a37298b,4,0.9247311827956989,0.06045759206949399
29613171f3b96340202e9a6c836688c0,6,0.8655913978494624,0.09140315859699112
ae7164287a298c6ec26be830a0028b3f,14,0.8487654320987654,0.0995340823768528
F2B14E29-5202-48BB-B3C7-DB2FDE689164,5,0.9339622641509434,0.028448475511840574
5998aae08e9642be112b6ab2fa4d0b27,4,0.7560975609756098,0.13630415457167538
d6039e585345d8fdc70ad11c099baa19,2,0.972972972972973,0.027027026179998706
9f4e010fee15994fff5a8e86f3b6026e,1,0.9666666666666667,0.03333333228866507
B7871688-C19A-4A6A-8A5B-FA0172D05451,14,0.8730650154798761,0.1093104192599407
3CED87CB-8520-45E6-88F8-77344A9CD494,8,0.868421052631579,0.07145953330481897
5A9E424D-F940-4A77-A1F8-28F065385E6C,36,0.8874269005847953,0.07786727208495123
752CD6F9-AEB7-4C23-BA5E-99F7005B88D5,2,0.5942028985507246,0.38434071131990954
813617089cd46dd731ab5bd63eaef6df,49,0.9300087489063867,0.054193120274931915
645C455F-9808-4779-8C47-E00AC9162121,48,0.9448568398727466,0.042859422695134895
