maze_name,n_estados,n_estados_teste,taxa_acordo,js_divergencia
Queens Querstone,121,98,0.8265,0.125
Rainrose Ruin,1553,1037,0.675,0.3227
Rattlesnake Ridge,681,511,0.6067,0.3419
Ravenflower Rock,1271,927,0.6861,0.2856
Ravenroot Ridge,1247,743,0.7537,0.2247
Ravenshadow Ridge,418,325,0.6646,0.3131
Red Tringplainspat,274,152,0.7105,0.2403
Riverside Roost,383,293,0.6553,0.3148
Rnieroynaspa,508,328,0.7927,0.1776
Rosebud Grove,680,376,0.6729,0.2287
Rosehaven,1583,910,0.7451,0.2161
Royal Sulwold,149,132,0.6288,0.277
Rstonenah Du Wkenarburgh,453,326,0.773,0.1878
Ruby Ridge,493,325,0.7662,0.232
Rubyvale,523,427,0.6323,0.3208
Saint Charlerush,291,174,0.7989,0.1749
Saint Cliffebray,258,233,0.7425,0.1965
Saint Kipre,410,324,0.6728,0.2931
Saint Perthprudnorth,101,88,0.75,0.2561
San Bermi,206,141,0.7021,0.2901
San Charoaksearl,351,264,0.7386,0.1838
San Chu,212,118,0.7288,0.1597
Sapphire Springs,456,359,0.8162,0.1707
Sapphireseed Shore,1375,909,0.7866,0.2039
Selespring,155,132,0.6667,0.2552
Shadowseed Shore,1100,810,0.6741,0.2887
Shafton Lake,307,222,0.6577,0.2396
Shingrdie,116,84,0.8095,0.1485
Shipstocruces,303,251,0.6892,0.2309
Sihovebly,457,366,0.7705,0.1867
Silkseed Sanctuary,1499,899,0.6874,0.2849
Silvermoon City,364,255,0.7882,0.1975
Silvershore Sand,379,280,0.7464,0.2222
Silverstem Shore,1475,918,0.7255,0.2574
Silverthistle Port,1214,840,0.7143,0.2698
Silverwood-on-Lake,334,284,0.6021,0.2668
Snowpea Summit,1219,858,0.7494,0.2249
Souan,443,390,0.7128,0.23
South Myardstian,315,250,0.728,0.2154
South Skegstergreat,370,293,0.7747,0.1301
Southsun Summit,1731,1115,0.6924,0.2855
Sparrow Hill,288,243,0.7325,0.1808
Sparrowspike Spire,1166,695,0.7295,0.2644
Springbud Stronghold,1203,787,0.7039,0.2474
St Cechil,150,116,0.8879,0.1072
Stagskull Shore,651,338,0.7337,0.2652
Staincanchar River,426,286,0.6888,0.2575
Starbud Shore,1160,880,0.6943,0.2693
Starlight Summit,491,366,0.6831,0.2926
Starshine Strand,1464,934,0.652,0.3108
Stokeelkstone,120,68,0.7941,0.2031
Stonybloom,1823,1224,0.7288,0.2445
Stormwind Haven,569,354,0.774,0.2245
Stowcold,371,269,0.6394,0.2598
Stowen Grove,286,170,0.6706,0.2528
Stra,357,126,0.6825,0.2754
Sunbrook Meadow,1205,850,0.7494,0.2437
Sunflower Glade,1445,989,0.6653,0.292
Sunset Serengeti,723,524,0.5935,0.3306
Sunstone Sanctuary,1728,1089,0.7208,0.2645
Sunstone Shores,398,302,0.7417,0.2576
Swan Lake City,544,357,0.6891,0.2263
Swangates,255,132,0.803,0.1288
Swans,47,37,0.8378,0.1025
Tebrobank,298,231,0.7316,0.2125
Thallmil,123,82,0.7683,0.1581
Thornhold,1453,988,0.7298,0.2564
Thunderbolt Terrace,623,467,0.7323,0.2104
Thunderthistle Thicket,1122,750,0.7773,0.2069
Tiche,256,179,0.5978,0.2919
Tidalteasel Town,1694,926,0.7257,0.2496
Tigerlily Terrace,222,135,0.7037,0.2034
Topaz Terrace,378,180,0.8111,0.1978
Tosqua,203,157,0.6815,0.2118
Twilight Tulip Tower,1539,1099,0.7571,0.2275
Tyve End,230,137,0.8248,0.1072
Ucupchancombe,229,187,0.6524,0.2298
Walnut Wood,763,489,0.638,0.2832
West Sportnga,304,252,0.7024,0.213
West Wellgreatcli,104,75,0.6267,0.2162
West Wotton,137,90,0.6,0.2304
West Wyvernhaven,325,227,0.5859,0.3217
Whispering Willow,167,122,0.8279,0.1379
Whispering Woods,442,330,0.7121,0.2922
Whitebeaupr,162,131,0.687,0.1939
Whitport,201,180,0.6722,0.2279
Willow Wind,663,388,0.7809,0.2039
Willowbrook Crossing,312,225,0.7556,0.226
Wisteria Wharf,684,256,0.8594,0.1123
Wnaldeanshot,343,268,0.6978,0.2625
Wolf Willow,862,388,0.7113,0.2456
Wolton-On-River,202,137,0.7518,0.152
Yassdrawich,128,86,0.6163,0.3594
Zephyr Peak,581,401,0.7656,0.1589
