maze_name,n_estados,n_comparados,taxa_acordo,desvio_pct,js_divergencia,terminal
Lake Montste,256,255,0.7373,0.2627,0.2238,"('Lake Montste', 5, 16)"
Gazelle Plains,380,379,0.7388,0.2612,0.211,"('Gazelle Plains', 8, 22)"
La Stryrest,342,341,0.739,0.261,0.1885,"('La Stryrest', 9, 3)"
Kingston Vale,523,522,0.7395,0.2605,0.2101,"('Kingston Vale', 28, 6)"
Dragons Descent,570,569,0.7399,0.2601,0.2065,"('Dragons Descent', 0, 16)"
Honeysuckle Harbor,317,316,0.7405,0.2595,0.1777,"('Honeysuckle Harbor', 14, 22)"
West Sportnga,317,316,0.7405,0.2595,0.1908,"('West Sportnga', 13, 1)"
Saint Charlerush,302,301,0.7409,0.2591,0.1832,"('Saint Charlerush', 4, 19)"
East Amppriest,314,313,0.7412,0.2588,0.1823,"('East Amppriest', 14, 4)"
Staincanchar River,487,486,0.7428,0.2572,0.2089,"('Staincanchar River', 14, 11)"
Lionsmane Meadow,632,631,0.7433,0.2567,0.1892,"('Lionsmane Meadow', 19, 19)"
New Hawkntonqa,169,168,0.744,0.256,0.2144,"('New Hawkntonqa', 9, 0)"
West Wyvernhaven,388,387,0.7442,0.2558,0.2289,"('West Wyvernhaven', 12, 2)"
North Royali,650,649,0.7458,0.2542,0.2211,"('North Royali', 36, 1)"
Tebrobank,312,311,0.746,0.254,0.1669,"('Tebrobank', 15, 14)"
Port Ironpeak,462,461,0.7462,0.2538,0.1906,"('Port Ironpeak', 12, 35)"
Mount Xeprice,96,95,0.7474,0.2526,0.1909,"('Mount Xeprice', 15, 12)"
Annmits Upon Biglonfield,200,199,0.7487,0.2513,0.1962,"('Annmits Upon Biglonfield', 24, 23)"
South Myardstian,324,323,0.7492,0.2508,0.1978,"('South Myardstian', 20, 29)"
Willow Wind,668,667,0.7496,0.2504,0.1934,"('Willow Wind', 37, 4)"
New Lighthaven,169,168,0.75,0.25,0.1787,"('New Lighthaven', 20, 14)"
Moonshadow Mill,185,184,0.75,0.25,0.1834,"('Moonshadow Mill', 15, 9)"
Prince Salnash,518,517,0.7505,0.2495,0.2041,"('Prince Salnash', 2, 9)"
Honeydew Hollow,370,369,0.7507,0.2493,0.2082,"('Honeydew Hollow', 13, 21)"
Orchid Oasis,552,551,0.7514,0.2486,0.2046,"('Orchid Oasis', 20, 23)"
Lionheart Landing,660,659,0.7527,0.2473,0.196,"('Lionheart Landing', 35, 11)"
Misthold,86,85,0.7529,0.2471,0.1587,"('Misthold', 7, 3)"
Ucupchancombe,252,251,0.753,0.247,0.1917,"('Ucupchancombe', 23, 24)"
San Bermi,208,207,0.7536,0.2464,0.2183,"('San Bermi', 12, 14)"
Wisteria Wharf,691,690,0.7536,0.2464,0.1564,"('Wisteria Wharf', 35, 0)"
Great Oakfray,139,138,0.7536,0.2464,0.1845,"('Great Oakfray', 9, 3)"
Lolaker,407,406,0.7537,0.2463,0.1739,"('Lolaker', 30, 1)"
Prince Meadowridge,834,833,0.7539,0.2461,0.2172,"('Prince Meadowridge', 11, 0)"
Briarneach,287,286,0.7552,0.2448,0.2032,"('Briarneach', 5, 2)"
Crystal Cove,799,798,0.7556,0.2444,0.2091,"('Crystal Cove', 13, 30)"
San Charoaksearl,362,361,0.7562,0.2438,0.1849,"('San Charoaksearl', 13, 7)"
Oakenhill,239,238,0.7563,0.2437,0.1838,"('Oakenhill', 10, 5)"
Rstonenah Du Wkenarburgh,458,456,0.7566,0.2434,0.1942,"('Rstonenah Du Wkenarburgh', 29, 8)"
Tosqua,223,222,0.7568,0.2432,0.1562,"('Tosqua', 8, 18)"
Whispering Woods,445,444,0.7568,0.2432,0.2134,"('Whispering Woods', 4, 10)"
Montsteswaf Lake,245,244,0.7582,0.2418,0.1751,"('Montsteswaf Lake', 21, 25)"
Rosebud Grove,718,717,0.7587,0.2413,0.2027,"('Rosebud Grove', 13, 14)"
Bivens,180,179,0.7598,0.2402,0.1954,"('Bivens', 13, 22)"
Silverstem Shore,1504,1503,0.7598,0.2402,0.1949,"('Silverstem Shore', 16, 0)"
Fourche-On-River,226,225,0.76,0.24,0.2042,"('Fourche-On-River', 7, 19)"
East Dicool,586,585,0.7607,0.2393,0.1887,"('East Dicool', 1, 8)"
Silvershore Sand,386,385,0.761,0.239,0.1934,"('Silvershore Sand', 17, 20)"
Kings Berthshire,221,220,0.7636,0.2364,0.1756,"('Kings Berthshire', 17, 5)"
Doveheart Dale,674,673,0.7637,0.2363,0.1882,"('Doveheart Dale', 3, 42)"
Queens Querstone,145,144,0.7639,0.2361,0.1557,"('Queens Querstone', 2, 4)"
Wolton-On-River,209,208,0.7644,0.2356,0.1613,"('Wolton-On-River', 12, 3)"
Luiscombepool,385,384,0.7656,0.2344,0.1888,"('Luiscombepool', 17, 2)"
Amethyst Arbor,524,523,0.7667,0.2333,0.192,"('Amethyst Arbor', 17, 17)"
Sihovebly,473,472,0.7669,0.2331,0.1989,"('Sihovebly', 5, 20)"
Hemlock Haven,526,525,0.7676,0.2324,0.2049,"('Hemlock Haven', 21, 8)"
Northnettle Nook,1264,1263,0.7704,0.2296,0.2041,"('Northnettle Nook', 3, 40)"
