uid,tercio,n_estados,taxa_acordo,js_medio,js_pond
0efdb80984bcc675ee31f00b2e153cd82944ab77,1,241,0.8879668049792531,0.08345552094757289,0.1095111993582317
cef73dbcbdc2f232923470e5da069f8d,1,134,0.6567164179104478,0.2924961496057423,0.29367891037192667
0F7AC69C-FB63-44EE-862C-D75EAABE8B07,1,108,0.8981481481481481,0.050835414654005366,0.0546936227858025
8ae91307ab554e366b78ddd9fbf579dc,1,257,0.8249027237354085,0.10492544753590871,0.12654395607487273
8ae91307ab554e366b78ddd9fbf579dc,2,258,0.8798449612403101,0.07222781759428812,0.07171528617925801
CC6AD6C9-69E0-4A5D-9FA7-1B536E71F9AD,1,347,0.9365994236311239,0.05985713363247213,0.06280205457683717
A4980B69-620A-4828-82EE-275479490C14,1,312,0.8717948717948718,0.06849395600058641,0.07435564448968315
50E3D3F2-48D1-4DF3-80A6-B9F52D73D19C,1,73,0.9178082191780822,0.07702131572319065,0.09383115373410301
3BB4EE05-6B58-41EF-81E1-B1E3DBDA7FEE,1,126,0.9761904761904762,0.012877430062088356,0.016209947699504193
b8f55cfb9315e406ea78be849cc084de,1,172,0.8488372093023255,0.08617061816561794,0.10112755738881815
FD443E7E-F9A0-4191-8170-9F23D997EA0A,1,183,0.8524590163934426,0.14518366607258423,0.1589497955640932
b8f55cfb9315e406ea78be849cc084de,2,140,0.9285714285714286,0.06158968538409125,0.061630840037053984
b8f55cfb9315e406ea78be849cc084de,3,107,0.8785046728971962,0.08931205871511723,0.1258903182747256
6fc6231e091c3865c108c30106151920,1,88,0.9772727272727273,0.0149008872527448,0.01662810291628865
FD443E7E-F9A0-4191-8170-9F23D997EA0A,2,157,0.910828025477707,0.09031176007841057,0.10720567507908095
6fc6231e091c3865c108c30106151920,2,58,1.0,0.003290939484690512,0.003507662131814
6fc6231e091c3865c108c30106151920,3,91,0.9010989010989011,0.09890109580153374,0.07424576980894561
A4980B69-620A-4828-82EE-275479490C14,2,392,0.8520408163265306,0.10650815041766185,0.11779599529093558
9c1eede290b70c5681d7f44af853f113,1,375,0.9173333333333333,0.05480634229527459,0.06732840960971932
993DE2F2-0B8A-4345-A4FD-3ADA40164ED6,1,63,0.9841269841269841,0.0049409223743109585,0.0063285466534550704
e463bbd4a66cd342127ff8eaf627bb86,1,49,0.9591836734693877,0.040816325251426616,0.03342080821793764
67BE2BCF-E3AA-41E4-88F2-EFAC8E78A922,1,121,0.9338842975206612,0.026272287072157726,0.02594058006888766
67BE2BCF-E3AA-41E4-88F2-EFAC8E78A922,2,110,0.7909090909090909,0.0869482395559936,0.08675782757586797
57B81508-EAB3-4BD5-B9F1-646FD266AC9F,1,157,0.8598726114649682,0.125083401954729,0.14014881027151896
32B5CE87-C264-4B8A-8321-BFE5C0EF3BDD,1,288,0.84375,0.10163727408322057,0.11179168156408227
32B5CE87-C264-4B8A-8321-BFE5C0EF3BDD,2,207,0.8647342995169082,0.08699476082053559,0.08455740654558469
32B5CE87-C264-4B8A-8321-BFE5C0EF3BDD,3,212,0.8207547169811321,0.11867639575783294,0.15336444212162975
39998F47-5329-4C7B-A98E-204F72C37A18,1,69,0.7971014492753623,0.11520829866144465,0.10677332751882697
39998F47-5329-4C7B-A98E-204F72C37A18,2,11,0.9090909090909091,0.09090908805999565,0.09090908805999566
39998F47-5329-4C7B-A98E-204F72C37A18,3,30,0.9666666666666667,0.03333333228866507,0.03101783781333942
993DE2F2-0B8A-4345-A4FD-3ADA40164ED6,2,52,0.9807692307692307,0.016998107306110375,0.01635601154970571
67BE2BCF-E3AA-41E4-88F2-EFAC8E78A922,3,122,0.9672131147540983,0.03278688421835908,0.03469268748461686
993DE2F2-0B8A-4345-A4FD-3ADA40164ED6,3,70,1.0,0.0,0.0
DA529D45-8670-4A0B-A350-D8D0928CED2D,1,324,0.9290123456790124,0.062461386896765,0.07291008495970464
DA529D45-8670-4A0B-A350-D8D0928CED2D,2,340,0.9117647058823529,0.07045199212453289,0.07656174021973487
DA529D45-8670-4A0B-A350-D8D0928CED2D,3,420,0.8642857142857143,0.09828662216179714,0.11200084814478524
5220D330-3443-420B-A31F-0D49D902B40E,1,74,0.9054054054054054,0.06867167542554306,0.07820801209601266
5220D330-3443-420B-A31F-0D49D902B40E,2,78,0.8076923076923077,0.18841842859332494,0.1899568909919306
A4980B69-620A-4828-82EE-275479490C14,3,287,0.8885017421602788,0.08858556974186914,0.09555291571066657
FD443E7E-F9A0-4191-8170-9F23D997EA0A,3,121,0.9421487603305785,0.04804488059979331,0.057046116055838994
e768b5297acda78c6350bebfbc8b20e6,1,350,0.9342857142857143,0.05535464558608484,0.05723687688705642
e768b5297acda78c6350bebfbc8b20e6,2,305,0.940983606557377,0.053262662190903746,0.04771701018476545
e768b5297acda78c6350bebfbc8b20e6,3,329,0.9270516717325228,0.04726069203499631,0.04623224910147106
B97BD820-ED46-457B-BA8E-6BA33688F8B8,1,67,0.7014925373134329,0.16817595728659696,0.16842129437933867
